Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Fit
48.08,98.24,2244,4.97,1,1
91.09,96.24,7688,7.04,2,1
75.21,99.2,7757,5.33,2,1
61.36,99.7,16309,8.1,0,0
67.1,100.0,3305,9.06,0,1
79.2,98.01,11185,7.01,1,0
65.68,100.0,15448,6.91,2,1
72.85,95.82,7993,6.43,2,1
93.45,96.27,2148,7.77,0,1
51.73,100.0,4816,6.92,2,0
94.55,94.95,8739,5.02,0,0
82.46,98.05,2189,6.45,0,1
57.56,97.98,1293,6.9,0,1
95.44,95.99,6580,8.0,2,1
83.33,97.15,10085,6.57,2,0
79.58,94.38,10614,4.9,1,1
75.21,94.88,7423,8.79,1,0
77.04,100.0,7404,7.19,1,0
88.17,97.39,4498,7.19,2,1
72.76,97.41,3773,5.48,1,1
89.24,97.73,1034,6.79,1,0
79.68,98.23,5365,5.56,1,0
70.38,96.13,4420,8.36,0,0
70.52,100.0,9188,6.27,2,0
79.79,96.69,4094,5.62,2,0
90.2,94.58,4968,7.69,0,0
82.57,95.25,12925,7.48,2,1
64.28,97.98,7280,4.75,2,1
86.1,99.6,5480,9.79,0,1
75.21,100.0,3174,6.49,1,0
70.86,95.48,1622,6.85,2,0
68.05,100.0,7308,7.32,0,1
87.31,99.0,3420,5.66,2,1
62.09,97.36,10206,7.65,2,0
97.44,96.51,6181,7.07,0,1
74.6,99.07,3019,3.97,1,0
63.39,98.14,2201,7.03,0,1
88.23,94.37,1137,6.81,2,0
68.34,97.4,11273,4.37,2,1
85.64,97.15,3329,6.1,1,1
80.99,100.0,6650,7.09,0,1
94.37,98.7,14960,6.58,0,0
77.38,98.01,5481,6.46,1,1
83.32,98.54,10947,5.8,0,0
77.19,96.73,4005,9.51,2,1
69.16,95.09,5808,6.99,2,0
88.15,98.7,16265,6.96,1,1
69.5,97.85,4703,4.51,1,1
63.39,97.63,2852,6.03,2,1
67.97,98.14,9098,5.71,0,0
72.12,99.1,1003,6.45,2,1
108.75,95.38,17151,6.02,2,0
79.39,96.35,17300,5.57,1,1
65.08,100.0,6062,6.16,1,1
91.33,100.0,1173,4.88,0,1
77.83,100.0,4211,7.39,1,1
94.42,99.59,3853,7.71,0,1
103.68,99.41,2479,7.25,1,0
52.62,97.83,1347,7.78,1,1
40.0,95.01,2142,7.68,1,0
104.87,99.36,5676,4.57,0,0
64.69,97.84,8102,8.74,1,1
67.13,99.16,1701,3.64,2,0
60.49,100.0,1597,5.36,0,1
87.84,97.25,19577,7.15,1,0
69.61,98.74,3367,5.7,1,1
50.73,98.01,18037,6.54,1,0
75.49,97.71,15415,9.1,2,1
71.26,99.61,2297,5.06,0,0
72.12,98.01,2522,7.19,0,0
87.68,99.06,2273,9.24,2,1
67.42,97.59,3877,5.13,0,0
85.47,98.29,4842,7.95,2,0
51.07,98.71,9937,6.25,2,1
88.48,93.06,2180,5.09,0,0
94.48,96.65,2484,8.77,2,1
71.55,100.0,6389,5.86,1,1
62.72,93.95,1382,6.28,2,1
58.84,98.79,4486,5.97,0,1
74.62,100.0,2022,8.08,0,0
93.24,100.0,1544,7.98,0,1
68.61,99.67,11115,5.39,1,1
91.67,100.0,8596,6.67,1,1
57.73,100.0,2012,7.05,1,1
69.73,97.23,3755,7.96,1,1
74.35,99.44,1172,5.59,2,0
70.01,99.95,6160,7.72,2,0
93.7,97.86,3163,5.08,1,1
67.19,99.99,7976,5.44,0,1
65.99,98.29,2216,7.14,2,0
90.52,97.5,16655,6.5,2,1
65.02,98.62,1499,4.2,0,0
55.32,97.79,13361,9.57,2,0
85.0,97.11,5947,6.31,1,1
69.02,96.6,5581,4.96,2,1
76.53,95.41,2578,5.6,2,0
49.77,94.92,9347,9.75,1,0
70.13,99.01,17497,3.72,1,1
46.39,95.01,4553,6.59,1,1
77.93,97.91,9277,9.3,1,0
77.77,97.78,1374,7.53,2,0
82.56,99.68,14847,6.25,1,1
78.87,100.0,1854,7.27,2,0
85.95,98.01,1479,8.67,1,0
60.81,96.72,5147,6.45,0,1
57.58,97.07,2631,5.55,1,0
105.33,98.08,3997,6.4,0,0
62.95,98.1,12598,5.68,2,1
67.17,98.2,5284,4.86,0,0
71.49,98.15,1608,5.0,1,0
69.65,98.53,14841,5.43,1,0
49.12,98.7,8036,5.72,0,1
107.78,95.81,12435,6.77,0,1
77.17,99.85,12487,6.74,0,0
89.42,100.0,7455,7.65,0,0
75.31,97.71,2023,5.27,0,1
87.23,98.62,5310,8.92,0,1
60.83,97.07,6951,3.86,0,0
54.68,96.45,15431,6.01,0,1
113.9,96.69,1217,5.86,0,1
75.21,96.83,4377,5.32,1,0
59.19,100.0,2836,3.19,0,1
85.75,97.85,3906,8.32,0,0
92.37,96.37,1415,7.74,0,1
84.9,97.52,1716,7.25,1,1
71.88,99.33,10283,5.41,1,0
105.37,100.0,4555,5.74,0,0
85.31,99.08,5052,6.0,2,1
61.08,97.95,15943,6.14,2,0
69.2,100.0,1920,7.69,1,0
58.95,97.56,2795,5.76,2,0
73.39,97.44,2583,5.21,0,0
72.9,95.69,7536,6.72,2,0
86.33,98.01,5785,6.56,0,0
86.11,95.68,4464,7.26,2,1
80.42,97.84,4630,5.89,0,0
90.65,97.01,11848,7.9,1,1
71.61,100.0,3696,6.71,2,1
40.0,98.61,15489,8.04,1,1
85.43,95.84,7463,9.47,2,1
69.89,97.59,3456,6.77,1,0
95.97,98.84,4257,4.78,1,0
60.57,94.52,8335,4.79,2,1
64.34,94.47,1690,6.45,2,1
83.31,97.51,4044,8.14,2,0
76.9,96.04,5939,4.14,0,1
88.98,99.0,1635,6.06,2,1
89.23,97.01,4366,6.76,1,1
97.72,100.0,4586,8.75,2,0
80.16,96.55,1876,6.09,0,0
80.09,96.89,1252,6.0,2,0
101.51,100.0,3018,6.93,0,1
82.78,100.0,1274,8.83,0,1
54.08,96.52,9200,5.45,0,1
49.74,97.52,7331,6.24,0,0
84.19,98.06,2625,6.71,1,1
84.81,97.54,5607,6.1,2,1
64.16,98.33,12378,5.57,1,0
80.31,98.31,12790,6.11,1,0
61.3,97.62,7436,4.67,0,1
83.97,100.0,1244,4.65,2,1
80.03,97.08,7775,5.91,0,0
70.59,95.13,2088,5.68,0,0
71.82,96.16,4371,6.52,2,1
92.39,97.05,12221,2.79,1,1
81.22,98.22,15564,6.02,2,1
82.32,99.67,12764,6.79,1,1
84.77,100.0,16914,7.41,1,1
89.38,96.01,8067,8.41,0,0
65.58,96.29,6750,4.35,0,0
83.89,95.82,1990,8.07,0,0
71.61,100.0,18439,6.95,2,1
58.74,97.99,8292,6.72,2,0
65.11,99.12,6825,6.62,2,0
64.04,95.15,20262,7.79,1,1
100.39,98.87,2989,5.31,0,1
92.68,93.66,7750,8.61,2,1
75.21,100.0,1339,4.34,1,0
88.03,99.33,4365,6.56,0,1
80.16,97.9,6276,5.25,1,1
60.29,98.95,10727,4.52,0,1
55.19,98.26,1594,6.31,1,0
85.99,97.88,2568,7.05,2,1
82.84,99.55,6693,5.34,0,0
98.91,99.63,5811,5.32,2,0
71.42,99.4,12256,8.79,0,0
62.95,100.0,5638,4.03,0,0
86.04,97.77,10913,4.7,2,1
71.43,94.6,7530,8.59,2,0
75.21,100.0,15910,5.6,0,0
76.35,98.9,4080,5.7,1,1
87.4,99.06,3899,5.83,2,0
73.8,98.57,8258,6.71,0,1
58.5,97.48,4463,8.38,1,0
55.86,97.96,7556,5.29,1,1
75.09,96.95,1904,5.61,1,1
86.82,96.65,16321,8.86,2,0
73.4,100.0,7599,6.06,1,0
94.24,97.61,2278,5.15,2,0
101.02,99.72,1704,3.47,1,1
75.21,98.95,6875,5.36,0,1
69.51,100.0,19785,5.2,2,0
98.44,98.36,6041,4.71,1,1
97.78,99.84,12797,6.61,0,1
93.34,100.0,7858,8.64,1,0
63.28,99.42,5871,6.82,2,1
43.99,96.45,5995,8.01,1,0
60.43,97.63,9409,6.24,2,0
78.1,95.57,3532,5.18,1,0
73.89,97.38,16403,7.43,2,0
89.43,95.24,13939,4.81,1,0
52.72,99.51,9044,8.24,2,1
53.01,94.4,9522,5.38,0,1
86.43,95.87,3731,7.61,1,1
53.46,98.64,12508,7.06,2,1
70.94,99.61,18880,5.04,1,1
75.37,93.98,11098,8.32,0,1
83.67,99.29,10812,5.38,2,1
102.48,94.42,6567,6.6,1,1
72.45,98.94,3116,8.34,0,0
54.6,98.01,2137,6.71,0,0
75.21,100.0,4977,5.88,0,0
51.65,93.52,5054,5.7,2,0
82.43,97.06,16840,4.45,1,0
65.91,97.22,11621,7.79,0,0
50.76,94.58,1410,6.65,0,0
82.9,98.72,5773,8.79,2,0
83.34,96.87,13137,7.74,1,1
75.02,96.21,5427,5.9,1,0
106.04,95.5,16967,4.79,1,1
63.43,98.2,16693,9.3,0,1
88.0,98.97,2996,3.95,1,0
79.91,97.64,14496,5.99,1,1
89.57,99.82,6158,6.01,0,1
67.44,98.75,4575,5.53,2,1
54.23,100.0,10418,5.22,1,1
75.21,95.16,7876,5.41,1,1
85.21,99.21,11658,6.42,0,0
75.26,97.45,21172,6.96,1,0
78.23,95.32,14449,5.71,1,1
74.64,99.49,13281,4.94,2,1
67.01,99.89,10647,6.75,2,0
81.6,99.54,18296,6.57,2,0
49.26,98.2,9417,7.07,0,0
49.23,97.54,14717,5.69,2,1
75.21,96.04,13977,5.17,2,0
82.89,100.0,18575,5.56,0,1
76.24,93.57,17147,4.74,1,1
75.21,95.5,12371,5.68,2,0
87.74,97.17,17894,5.24,1,1
86.89,98.42,1362,7.7,2,1
89.86,98.02,10517,6.54,1,0
89.17,96.61,4678,8.4,1,1
75.81,100.0,2085,8.41,0,0
64.53,99.5,9879,6.52,1,0
72.49,97.93,4487,3.49,1,1
76.75,94.87,16110,7.1,1,0
64.89,97.39,8682,8.22,0,0
99.45,97.25,1048,7.45,1,1
99.52,94.64,2020,7.02,2,1
73.2,99.04,2150,6.13,2,0
90.46,98.38,2951,4.73,1,0
83.4,96.06,7685,7.44,1,1
67.55,98.5,15732,6.21,2,1
81.18,99.96,6304,6.97,2,0
63.39,99.02,9754,5.62,1,0
61.8,96.83,2666,9.5,1,0
82.15,100.0,5173,6.86,2,1
72.67,100.0,5108,4.4,2,1
67.07,94.41,2847,7.43,0,1
88.84,95.67,1957,5.63,2,1
74.62,97.01,2057,5.83,0,0
72.31,97.75,11501,6.06,0,1
62.5,98.95,8111,7.0,2,0
102.52,95.1,4277,4.66,0,0
61.39,97.91,14870,5.84,1,0
63.94,98.5,13874,6.45,0,0
75.21,97.62,9864,6.48,1,1
97.46,97.86,11823,4.04,0,1
55.64,99.66,10713,7.35,2,0
76.45,98.01,5239,7.54,0,1
54.49,99.89,2152,7.16,2,0
112.27,98.0,10837,6.16,0,1
79.31,97.01,2676,6.13,2,1
87.02,97.88,1965,6.34,1,0
69.45,98.01,1318,7.38,1,1
102.09,97.31,6906,6.3,2,1
67.46,97.24,1943,7.06,2,0
62.12,96.0,3288,8.47,0,0
75.21,100.0,8642,5.05,1,0
88.2,96.38,11053,6.22,0,1
106.93,95.57,2645,5.21,1,0
99.21,98.87,12951,5.91,1,1
64.4,95.77,3775,4.06,0,0
61.83,98.88,2750,4.54,2,0
72.74,97.62,18009,7.17,2,0
95.48,97.65,3099,6.17,1,1
59.63,98.88,3112,6.57,1,0
57.78,97.1,3865,7.86,1,1
68.91,97.26,13202,6.07,0,0
84.66,98.83,6269,4.8,2,0
82.52,98.16,13012,5.03,0,0
66.76,100.0,1557,6.69,0,0
64.24,94.59,5585,6.15,1,0
62.97,99.1,1684,5.87,2,0
58.77,98.96,2513,6.9,0,0
68.69,96.53,8105,5.9,2,0
76.01,96.19,1426,5.88,2,1
65.37,98.01,5308,7.26,2,1
75.52,95.97,6571,5.78,1,1
40.0,97.83,16212,4.94,1,1
84.5,96.86,1477,10.01,2,1
66.41,98.68,17369,5.36,1,0
48.98,96.5,8518,5.78,1,0
63.09,96.48,3368,6.03,0,0
93.0,99.21,9873,6.77,1,1
58.6,100.0,7650,5.84,0,1
69.63,98.01,1184,9.27,0,0
77.41,97.05,8012,5.52,0,0
77.93,97.9,6573,7.56,2,0
81.06,98.95,2036,8.53,0,1
102.8,97.97,3414,6.94,1,1
104.44,97.8,1368,6.14,0,0
79.71,96.69,12343,5.55,0,1
77.45,97.05,1679,6.45,2,1
66.5,95.92,2330,6.06,2,0
77.01,99.85,8581,7.17,1,1
53.37,100.0,5253,7.26,0,0
86.8,95.97,18478,5.33,0,1
83.07,96.49,6611,7.17,0,0
73.09,96.05,2509,6.45,2,1
81.28,97.06,4710,6.64,1,0
97.59,98.01,4855,7.18,0,0
69.22,100.0,5217,7.07,0,1
53.47,94.82,4814,7.33,0,1
84.41,99.89,5775,4.76,0,0
83.04,97.99,3498,9.57,1,1
86.4,93.74,1106,6.65,2,0
57.04,95.48,7646,7.32,1,0
52.5,99.01,11007,6.63,0,1
78.97,96.29,12872,7.92,1,0
69.64,97.74,3629,4.54,0,0
93.47,99.29,10777,5.98,1,1
58.65,96.05,12186,7.02,1,1
61.7,99.56,7807,5.11,1,0
55.77,96.95,9037,7.97,0,1
76.47,97.34,19633,7.25,1,1
95.25,98.01,2540,4.76,0,1
83.93,98.01,3292,8.53,1,0
55.53,99.83,3660,7.2,0,1
68.07,97.13,1394,7.42,2,0
43.34,93.93,3359,4.56,2,0
80.34,98.01,5995,5.59,2,1
72.66,95.99,9329,7.06,1,1
84.27,100.0,1716,5.26,0,0
63.41,98.38,4899,7.4,0,0
64.04,99.72,14441,4.82,0,0
55.61,100.0,10040,7.39,0,0
74.51,100.0,1846,9.75,2,1
58.41,98.42,2850,6.45,1,1
96.79,97.43,2554,5.51,1,0
68.54,96.75,8898,8.21,2,0
57.97,98.92,2300,4.75,1,0
77.03,99.41,6212,7.01,0,0
66.43,98.0,2824,7.8,2,0
76.74,96.79,4200,5.34,2,1
68.29,99.69,2060,7.8,1,0
75.13,99.92,5878,6.4,0,1
95.11,99.32,8446,7.23,0,1
77.8,99.37,6778,8.8,0,1
69.95,97.59,1125,7.03,1,0
68.78,98.24,1309,9.44,1,0
100.53,98.33,6892,7.6,0,1
87.37,98.01,10592,6.05,2,1
89.68,99.67,6610,7.84,1,0
86.21,95.39,5913,7.46,1,0
74.25,96.67,9591,8.24,0,1
52.98,94.05,9208,6.67,0,1
98.26,98.29,3707,5.78,2,0
86.13,100.0,7847,6.7,0,0
82.29,96.47,2248,4.28,0,0
63.65,98.83,1035,6.26,0,1
88.96,98.25,4977,4.73,2,1
64.43,98.03,1535,7.75,0,0
64.89,100.0,3162,6.97,1,0
59.5,98.75,10252,6.26,2,0
83.22,99.73,4187,6.07,2,1
73.53,99.62,1717,8.3,0,1
106.84,100.0,1516,7.98,0,1
51.99,96.07,3668,4.91,2,0
61.94,95.52,5829,6.88,2,0
75.18,100.0,3487,6.99,2,1
84.98,98.33,16445,6.19,0,0
76.27,93.61,3599,3.42,0,1
80.29,97.86,9506,6.76,0,0
90.74,99.79,3106,5.71,0,0
66.66,98.01,7837,7.53,2,1
68.36,98.01,6078,7.12,1,0
85.34,98.84,1575,5.61,1,1
98.59,94.43,7996,7.84,2,0
65.49,98.57,2009,7.29,2,0
78.62,98.59,10724,5.77,2,1
69.32,96.86,14064,8.78,2,1
83.32,98.6,4556,7.23,0,0
69.81,100.0,9358,3.42,1,0
66.39,96.48,4407,6.84,0,0
40.0,96.3,2815,6.53,2,1
105.37,97.13,2403,6.14,0,1
40.0,94.81,9071,3.2,1,0
75.21,97.48,3862,6.06,1,1
55.59,98.07,6190,4.85,2,1
56.33,100.0,4867,5.74,2,1
77.07,97.75,9018,5.63,1,1
85.37,100.0,8862,6.6,1,0
58.87,99.66,4169,6.95,1,1
58.38,98.28,1015,7.19,0,0
75.21,97.72,3668,2.9,1,1
78.22,99.07,1221,8.63,0,0
94.33,96.94,20990,6.48,2,0
57.69,99.17,4270,5.26,0,0
98.17,99.09,3286,3.76,1,0
76.03,100.0,15782,8.82,1,0
48.14,97.28,2377,5.96,0,0
81.0,94.03,6809,7.25,0,1
71.31,98.01,1422,5.3,1,1
74.38,95.85,12207,8.99,1,0
75.77,95.98,6683,2.55,2,1
65.07,100.0,3330,4.74,0,1
70.79,100.0,8595,6.4,2,0
91.85,98.72,4556,8.84,1,0
90.02,97.07,12096,7.72,2,1
99.45,95.02,5098,6.55,1,0
67.63,97.98,6539,7.56,2,0
104.89,97.35,9174,7.6,2,0
71.07,99.07,12006,6.45,0,1
79.07,96.35,1013,6.46,0,1
80.27,98.01,7960,7.0,1,1
78.71,97.64,2027,5.06,1,0
95.47,96.31,6156,8.46,0,1
47.99,99.84,2247,8.37,0,0
65.17,97.28,10423,5.55,1,0
84.58,97.24,6083,9.14,1,0
67.56,95.74,3911,6.24,0,1
91.3,100.0,4977,5.81,0,0
79.16,96.26,11411,5.83,1,1
97.34,99.36,3481,6.74,2,0
77.13,98.81,13238,2.57,0,1
75.21,97.18,1220,5.79,2,1
51.85,97.82,1843,6.45,1,1
59.95,99.18,2838,3.66,0,0
75.38,98.74,4106,5.92,0,0
78.44,98.52,4657,3.77,2,1
86.27,96.88,3899,8.13,0,0
87.07,98.32,1538,6.3,0,0
102.42,96.56,14567,4.24,2,1
69.65,96.7,4983,3.67,1,1
93.34,95.15,2923,5.26,0,1
82.29,99.34,2923,9.06,0,0
74.33,100.0,2894,6.19,2,0
72.42,99.13,10735,5.58,2,0
73.49,100.0,2326,8.11,0,1
74.96,98.8,2377,7.33,0,0
86.2,99.8,15218,6.51,2,0
66.53,100.0,2422,6.73,1,1
88.54,100.0,5149,6.21,2,1
55.93,97.82,4614,6.65,2,0
75.86,98.01,3985,7.0,1,0
67.39,97.5,6222,7.13,2,0
66.81,100.0,6930,7.01,1,1
92.09,97.74,8598,5.66,0,0
43.46,98.33,5921,6.64,2,1
72.98,98.73,4437,6.73,0,1
66.35,97.3,4977,4.76,0,1
95.09,100.0,10325,6.81,1,0
92.31,97.57,7294,5.9,2,1
75.96,95.67,8151,4.61,2,1
90.56,96.32,5988,7.82,2,0
91.97,97.1,1276,4.39,0,0
66.38,99.75,9854,6.95,1,1
85.09,99.62,12416,6.7,1,1
60.65,99.79,1852,5.21,1,1
69.16,98.03,7072,7.75,1,0
75.21,99.99,3325,4.73,1,0
69.68,94.33,13830,4.86,2,0
50.12,99.9,12032,7.65,0,1
81.76,96.63,2678,6.45,2,1
61.76,97.57,5307,6.87,0,0
62.68,97.27,5027,10.31,0,0
95.33,99.04,1367,7.17,2,0
64.69,98.32,1102,7.45,0,0
86.29,97.54,13017,8.01,0,1
91.49,100.0,14140,5.49,0,0
68.59,99.62,16789,4.52,2,0
48.58,99.78,10460,5.23,2,0
86.58,96.8,3052,6.78,0,1
82.15,98.17,14262,3.78,1,1
40.0,97.61,2301,7.48,2,1
72.34,96.13,1070,6.47,0,1
84.44,98.44,12113,6.39,2,1
94.3,100.0,1503,6.59,1,0
79.48,100.0,16648,6.53,1,1
77.91,100.0,6338,7.28,2,1
64.82,98.01,5673,4.92,2,0
80.68,96.13,10464,7.25,1,0
64.06,100.0,8751,9.66,0,0
57.64,99.65,6387,6.34,0,1
60.81,96.89,5193,6.77,1,1
79.87,96.48,1715,9.16,2,0
54.18,100.0,12380,5.34,1,1
70.59,99.95,2019,6.48,1,0
94.62,100.0,4710,6.45,1,0
53.49,99.12,1204,5.04,2,1
83.21,93.88,1514,7.7,1,0
70.63,97.25,11379,7.35,0,0
84.33,100.0,2136,5.84,2,1
72.18,96.86,2070,5.74,2,0
86.93,98.44,3833,7.96,1,1
58.98,100.0,13088,6.49,1,1
103.34,99.75,8143,5.2,2,1
75.21,96.07,14370,8.11,0,1
96.49,98.71,8937,9.62,0,0
90.13,99.01,1625,6.19,0,0
58.69,97.26,12865,3.49,2,0
83.63,96.22,13881,6.16,2,1
64.49,98.88,5609,6.9,2,0
83.07,96.8,3609,7.19,2,0
75.69,96.82,11037,7.71,2,1
64.06,97.27,14502,5.63,0,1
54.95,99.57,9382,8.85,1,0
78.45,96.6,16619,7.95,2,1
81.96,96.42,6894,6.7,2,1
72.63,96.1,7770,5.46,0,0
63.39,97.69,5938,9.39,1,1
58.56,97.71,7446,5.76,2,1
86.04,98.01,5765,8.6,0,1
42.61,98.01,9197,6.83,0,1
89.28,97.34,19051,8.76,0,1
73.86,96.18,3268,5.24,1,1
82.82,97.14,3707,6.2,1,0
76.76,97.82,5241,5.5,2,0
91.59,98.45,8811,2.39,2,0
75.21,97.78,10585,7.12,0,0
94.53,96.75,8979,8.23,2,0
58.15,100.0,5537,5.12,0,1
70.12,98.96,5348,7.17,0,1
96.47,97.58,7280,5.69,0,0
108.44,96.92,5663,4.24,0,0
77.73,99.83,9712,6.01,0,1
54.68,96.26,15745,5.64,2,0
87.81,100.0,5377,6.69,1,1
78.29,97.16,3300,5.66,2,0
55.35,95.4,4800,6.31,2,0
61.2,97.38,4219,6.42,1,0
45.48,96.87,1021,5.7,1,1
50.07,98.71,1928,6.58,1,1
65.89,98.57,9268,7.29,0,1
93.81,98.17,1442,3.32,0,0
96.41,95.35,2899,7.26,2,1
52.32,97.65,3022,5.49,0,0
71.63,98.28,1769,8.24,0,0
65.85,96.98,1597,7.9,0,1
96.16,99.54,16664,5.62,0,1
77.42,96.73,7336,4.41,2,1
108.17,94.19,2089,8.25,0,1
51.53,96.26,6236,3.49,2,1
67.88,97.47,8363,8.56,2,0
83.57,98.28,2041,7.03,2,0
79.0,97.73,2984,6.7,2,0
90.73,96.32,2403,5.27,0,1
78.09,100.0,3420,5.81,1,0
63.66,100.0,5339,5.8,1,0
75.63,96.03,3773,5.38,2,0
96.17,99.83,6881,3.38,1,0
55.78,100.0,15236,8.84,1,1
98.47,100.0,17337,6.31,2,1
72.65,94.82,2202,5.05,0,0
87.62,95.58,3950,5.63,0,0
67.38,99.35,4977,5.61,2,0
95.42,98.12,4202,7.7,0,0
76.49,96.61,2434,6.1,2,0
65.54,99.77,12766,6.1,0,0
79.23,95.69,7834,8.24,0,1
79.62,96.0,4829,6.3,0,0
83.42,97.11,2810,5.08,2,0
63.6,96.67,2143,6.45,2,0
63.68,96.66,2596,6.97,2,0
67.61,97.3,1413,6.17,0,1
75.4,98.53,15549,5.84,2,1
73.39,99.41,8287,6.89,2,1
80.12,99.44,2704,7.89,2,0
87.39,94.46,6823,7.66,2,0
79.73,97.95,8614,7.35,0,1
86.79,96.21,2766,5.55,0,0
67.1,98.02,9024,7.36,2,0
76.11,98.42,2459,6.37,0,0
40.0,100.0,1901,8.24,2,0
61.19,100.0,6764,9.09,0,0
90.04,96.75,6397,6.84,1,0
63.26,95.77,4959,4.13,1,0
71.3,100.0,2027,6.17,2,0
74.22,100.0,4115,6.61,0,1
54.89,99.5,1088,6.52,0,0
98.7,95.55,7600,10.31,1,1
74.53,100.0,14236,6.13,2,1
62.15,96.26,4361,5.63,0,1
84.73,97.63,1676,6.74,0,0
70.55,100.0,12317,6.29,0,1
75.88,97.18,2628,5.38,0,1
96.13,98.47,6309,3.86,1,1
92.14,95.58,8859,5.2,1,0
69.87,100.0,4322,4.99,1,1
76.02,98.01,3853,5.28,2,0
79.55,97.86,19115,4.31,0,1
84.4,99.03,5373,7.15,2,0
83.97,98.91,7028,7.38,1,1
85.33,100.0,7958,7.97,0,0
80.37,96.71,11666,6.76,1,0
87.94,95.52,10285,5.1,0,0
83.95,100.0,8438,3.86,2,0
67.75,99.68,7104,7.92,0,0
85.43,97.66,1957,5.66,0,1
69.98,96.87,9750,5.07,2,1
84.78,97.72,9688,6.71,0,1
58.74,99.18,1276,5.96,1,0
54.48,97.35,1986,6.53,0,0
48.81,94.9,6169,6.02,1,1
62.27,95.26,7716,4.82,2,0
60.37,98.03,1095,9.57,2,1
67.99,98.32,3733,6.05,2,0
87.52,100.0,2701,7.01,1,0
85.69,98.09,6052,3.32,2,1
75.21,98.36,3137,5.49,2,0
69.26,95.73,4977,7.81,1,0
60.93,98.6,4114,6.54,2,1
81.64,97.13,6245,5.69,1,0
101.6,96.55,6156,5.67,1,0
75.21,100.0,2517,8.56,2,1
59.41,97.75,2104,8.63,2,1
79.45,96.4,11109,5.63,1,0
72.36,93.67,4414,5.33,0,0
75.21,100.0,3322,6.39,0,1
74.07,98.15,11737,7.14,1,0
72.89,100.0,16882,6.09,2,1
64.98,100.0,2649,8.07,2,0
52.05,99.83,5446,8.13,0,1
92.97,100.0,8790,4.82,0,0
94.05,95.92,6203,5.61,0,0
89.06,99.79,8154,7.3,0,0
75.21,98.57,7283,6.58,2,1
82.49,99.72,14065,5.72,0,1
92.05,99.1,4218,8.64,1,0
40.0,98.57,4245,3.49,0,0
59.03,100.0,18685,6.34,1,0
93.7,99.74,2774,4.87,2,1
91.1,96.39,6668,6.27,0,0
83.47,100.0,15864,4.04,0,1
75.15,97.19,14758,6.1,2,1
84.47,99.92,10135,6.49,2,0
75.21,99.31,1631,9.31,1,1
70.2,97.5,2756,5.28,0,0
76.65,100.0,2603,4.51,2,1
61.25,96.44,1750,6.45,0,0
82.5,98.73,1275,6.01,2,1
68.48,97.29,1849,5.09,1,0
63.19,99.6,2401,6.36,0,0
86.15,93.93,19416,5.53,1,0
96.96,95.92,6881,3.89,2,1
88.38,99.15,1673,7.43,1,1
62.83,99.77,11407,7.49,1,0
85.02,96.73,17936,5.02,0,1
71.16,100.0,3616,5.69,0,0
91.94,98.01,1328,9.28,1,1
78.32,99.04,2596,7.17,0,1
52.88,97.72,1713,6.5,2,0
71.37,94.99,1574,8.93,0,1
75.21,100.0,1310,4.07,2,1
75.21,96.88,14615,6.45,0,0
79.11,97.24,3733,7.76,1,1
93.19,97.05,8591,7.69,2,0
57.86,98.93,1027,7.93,2,1
93.77,97.43,10821,6.04,0,0
89.03,100.0,11204,7.38,2,1
95.01,97.56,12862,4.43,0,1
77.14,98.49,13079,9.24,1,1
71.25,99.27,4628,6.72,0,0
58.32,100.0,4271,8.82,0,0
72.53,98.01,6777,6.3,1,1
46.93,100.0,7794,6.24,2,0
91.64,97.05,10948,5.13,2,0
77.22,96.65,2761,2.98,1,0
79.99,99.88,4056,8.45,0,1
67.14,99.69,3149,6.91,1,0
78.02,96.68,9792,7.72,2,1
95.81,97.72,1824,7.09,1,1
80.98,97.99,1040,5.23,2,0
67.69,97.41,4061,6.87,2,0
75.21,98.33,6921,6.0,1,1
64.28,97.38,2309,4.91,0,0
74.15,96.02,4047,4.54,1,0
61.0,100.0,8633,7.55,1,1
83.98,99.85,10508,6.87,1,0
62.87,96.61,1592,3.24,1,0
68.88,97.99,3286,6.32,0,1
56.64,99.41,6497,4.75,1,1
60.97,99.43,9715,6.38,2,0
88.44,97.76,1275,6.21,1,0
90.72,95.97,4282,5.22,0,1
91.37,100.0,1243,8.26,1,1
91.42,98.56,7023,7.93,1,0
69.69,100.0,10353,6.45,0,0
84.98,97.78,12541,8.86,0,0
90.79,98.4,9226,4.78,0,1
61.91,100.0,1213,9.0,1,1
77.91,98.48,12338,6.18,0,0
73.09,95.4,2849,5.9,0,1
46.93,95.11,4977,8.73,1,1
79.88,94.56,2022,6.25,2,1
64.28,96.25,4519,8.15,2,0
90.77,97.16,6015,4.55,2,0
79.94,100.0,16381,7.21,2,1
76.68,93.81,5015,8.29,1,1
49.16,99.24,1492,7.57,2,0
70.19,97.26,1227,6.57,2,0
80.36,98.7,8120,7.21,2,0
75.21,96.36,4056,7.41,0,1
88.59,98.01,5439,7.22,1,0
83.06,100.0,1858,5.33,0,0
60.16,97.04,1057,8.28,0,0
98.55,98.47,1653,6.84,2,0
86.52,96.63,4456,6.93,0,0
84.26,98.01,19255,6.67,2,0
80.96,94.56,10455,7.66,2,1
62.19,100.0,2757,7.63,0,1
69.93,100.0,2092,6.37,0,0
