User ID,Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Stress Level
3466,77.72,100.0,551,6.24,sedentary,1
3737,59.23,99.96,14313,5.79,sedentary,8
1849,83.57,97.46,9128,8.04,sedentary,5
4216,77.34,100.0,482,6.04,active,8
3263,75.24,97.81,8236,4.56,active,3
1002,55.99,99.11,5334,9.04,sedentary,6
1159,55.74,99.64,7134,4.81,highly active,7
4810,80.92,96.79,5035,6.93,highly active,2
1780,75.21,95.6,7874,9.24,sedentary,7
4191,63.63,99.42,16630,5.99,active,1
1892,79.18,95.39,6198,6.43,highly active,7
3030,105.56,96.23,15871,7.78,sedentary,1
4160,69.04,98.01,10668,4.71,highly active,9
3376,105.76,98.97,14013,4.0,highly active,10
1579,73.86,98.88,7536,5.96,active,5
2933,83.46,97.18,5117,6.62,highly active,8
2380,89.4,100.0,504,6.6,highly active,7
4681,90.49,96.34,12608,8.63,sedentary,5
2640,71.55,94.7,261,6.28,active,3
1951,87.42,98.36,5124,8.76,sedentary,2
4156,81.36,98.01,7007,6.08,highly active,6
3682,68.46,99.53,7589,9.48,sedentary,9
1987,96.14,99.33,7754,6.15,sedentary,10
4612,81.86,97.95,7423,5.46,sedentary,8
4720,63.76,98.01,11558,6.44,active,1
2218,62.01,96.93,10268,6.89,active,9
1920,104.38,97.08,11730,5.88,sedentary,2
3785,67.61,100.0,4316,7.1,sedentary,6
2355,86.29,97.81,454,6.28,sedentary,10
1169,80.65,100.0,7143,8.4,highly active,8
1520,85.78,98.42,1651,7.26,active,5
2486,103.68,97.85,13738,6.52,active,1
1039,89.96,97.07,8952,6.03,highly active,2
3274,87.54,99.04,10163,7.7,active,1
4332,72.05,95.97,2362,6.55,highly active,8
2418,65.03,97.94,7017,5.82,highly active,1
1954,111.29,98.22,5256,5.42,highly active,1
4297,74.37,98.4,2188,7.55,highly active,6
1983,73.4,98.01,11707,5.79,active,6
4195,79.33,97.23,5588,6.05,highly active,6
1974,77.87,98.63,1481,7.33,highly active,3
1037,98.89,98.45,2549,8.11,highly active,8
3375,83.09,100.0,1803,7.39,highly active,1
2274,55.35,97.6,2621,7.78,sedentary,4
4972,65.11,95.65,1459,7.56,highly active,9
2199,75.16,97.07,3246,6.45,sedentary,10
2625,90.38,95.91,8288,7.09,sedentary,7
1453,82.41,99.61,1654,6.45,sedentary,9
1036,85.97,98.01,2495,4.86,highly active,6
4387,88.24,98.8,15,2.71,active,4
1795,62.77,97.13,4335,5.01,active,2
1972,89.18,93.2,2167,8.43,active,6
1592,74.08,99.39,1140,8.05,active,5
2137,75.64,98.27,5795,7.46,active,2
4111,75.48,98.16,3683,7.25,highly active,5
2324,84.75,96.57,3889,5.38,sedentary,8
3271,58.43,97.8,15775,6.69,active,2
1317,75.21,99.21,5769,7.02,active,1
3396,88.06,98.79,3441,6.6,active,9
3162,70.48,95.82,2049,6.42,highly active,9
3745,75.04,96.61,3917,8.45,highly active,4
2346,62.11,99.33,13856,8.02,highly active,3
4111,77.96,100.0,3315,7.9,highly active,1
2889,78.06,96.07,1641,6.84,active,2
3087,69.94,97.62,17216,8.25,active,9
4930,56.25,97.25,1091,4.7,sedentary,7
2996,81.86,97.57,2470,6.6,sedentary,1
2772,69.58,98.01,1598,7.56,sedentary,7
2312,63.76,94.31,5840,7.32,sedentary,4
2285,94.14,99.14,3677,7.06,sedentary,2
1215,60.37,100.0,2369,7.89,active,6
4218,83.43,97.07,10224,8.66,sedentary,10
3383,52.51,98.57,7636,4.9,highly active,6
3139,82.24,97.65,2617,5.42,highly active,5
3400,69.96,96.78,13063,8.11,highly active,5
3618,57.47,99.39,2521,7.59,active,9
4642,89.25,98.5,63,5.04,highly active,9
3863,80.57,96.68,1145,6.49,active,10
2704,75.21,99.56,4971,4.25,highly active,10
1362,59.04,100.0,413,5.7,sedentary,3
3604,49.38,97.7,12487,4.8,active,9
2716,74.37,96.27,245,7.38,active,9
2193,76.16,97.05,786,6.93,active,6
1355,50.48,97.18,550,5.77,highly active,2
1190,53.8,99.74,7954,6.34,sedentary,1
4738,63.59,94.26,5763,6.06,sedentary,8
3469,64.54,97.88,3111,5.1,sedentary,4
3054,68.8,96.56,3494,6.49,sedentary,7
3180,86.14,99.04,8023,7.38,active,5
4818,91.44,96.67,686,6.48,highly active,4
1556,83.34,97.72,13594,9.57,highly active,4
4189,75.21,99.73,454,5.61,sedentary,7
3808,70.44,97.43,6558,6.44,sedentary,8
2054,72.51,100.0,1467,7.23,sedentary,8
3582,74.18,96.4,672,7.16,highly active,7
4465,63.54,98.01,7695,6.42,highly active,1
3719,54.57,98.62,903,6.38,sedentary,1
3410,61.1,100.0,4519,7.52,sedentary,3
4508,71.12,98.86,3647,5.46,sedentary,3
4741,63.88,100.0,3903,2.85,active,1
2574,62.2,98.62,20104,5.99,active,5
4998,72.03,100.0,3005,9.03,highly active,8
3403,78.0,96.83,5411,4.15,active,7
4329,68.7,97.1,12937,7.51,active,3
4789,51.49,97.52,3003,6.81,highly active,10
1588,59.53,100.0,620,5.94,sedentary,2
3012,70.08,96.87,617,4.88,active,6
1519,68.28,98.84,5975,5.28,sedentary,10
1294,53.8,98.21,18606,5.66,highly active,5
2985,85.15,98.46,517,9.25,sedentary,10
2247,79.68,98.12,8178,7.46,highly active,8
2548,65.99,97.27,5798,5.44,active,7
4117,72.54,95.75,7393,5.69,highly active,7
2690,58.92,96.13,1699,6.45,active,1
2136,87.8,99.49,511,5.85,sedentary,6
2256,106.03,98.94,543,6.52,sedentary,6
3064,65.33,98.42,1983,6.28,active,5
1359,93.36,100.0,1682,6.65,sedentary,5
4294,62.09,100.0,945,3.5,highly active,2
3913,67.02,96.12,2152,7.7,highly active,6
1699,96.51,100.0,5344,5.66,highly active,9
1447,73.2,95.6,20902,7.86,highly active,2
3903,85.3,97.13,17881,9.79,active,1
3412,70.96,98.33,2219,4.32,sedentary,3
1674,47.96,99.68,4977,6.65,sedentary,10
2349,71.75,98.16,4529,7.09,active,9
3461,64.01,95.08,5399,5.96,sedentary,10
4526,86.7,98.88,15223,5.27,highly active,10
1585,85.6,97.75,4149,8.94,sedentary,10
2256,51.64,99.14,6810,9.29,sedentary,3
2247,77.57,97.06,5371,6.07,sedentary,5
1993,88.16,97.25,1738,4.78,active,3
4902,93.01,100.0,10101,5.24,highly active,6
2435,84.7,96.44,394,6.56,active,6
1571,86.02,97.64,3150,4.4,active,8
3382,66.9,96.98,14276,7.28,sedentary,7
2245,56.56,98.27,4889,6.21,sedentary,2
3084,70.34,98.6,565,7.03,active,1
1988,56.22,100.0,1628,7.09,highly active,6
1277,63.91,96.9,812,8.57,sedentary,10
2219,75.21,97.49,2276,7.45,sedentary,4
3963,60.89,98.49,1264,6.94,sedentary,9
2887,82.98,94.41,8712,6.87,sedentary,2
1483,59.81,100.0,7539,3.53,highly active,6
4395,89.84,99.44,4121,7.42,active,10
1730,92.84,100.0,2455,6.32,highly active,8
3239,64.66,99.21,4977,9.0,sedentary,1
2040,78.0,99.4,6005,4.27,sedentary,9
3571,59.36,98.21,16026,5.39,highly active,10
1917,78.26,96.33,15933,5.55,highly active,5
3448,48.48,99.58,3729,6.51,active,7
4977,90.93,95.19,3496,5.53,active,7
1885,65.33,95.64,5108,4.64,highly active,9
3752,79.54,97.09,4498,5.97,sedentary,4
1021,82.33,99.04,446,8.02,sedentary,10
1473,66.69,95.53,6051,7.63,active,9
4191,63.03,99.35,6151,5.46,sedentary,8
3257,73.2,98.88,4189,5.94,sedentary,8
3353,87.04,98.16,3740,5.33,highly active,1
4341,72.8,94.66,19571,4.61,active,8
1703,84.04,99.84,6428,7.14,active,9
1686,86.91,97.51,11860,4.58,highly active,1
1715,73.31,97.02,11628,9.23,active,1
4747,77.08,94.88,20050,7.06,active,10
2250,69.85,99.9,1305,7.39,sedentary,8
1947,92.07,100.0,1801,5.77,highly active,5
3428,78.83,99.11,1508,7.05,active,7
3507,63.95,99.51,2721,6.97,active,7
2030,74.37,100.0,3069,5.56,sedentary,2
1028,58.19,100.0,11668,2.73,active,1
1906,54.81,99.18,3133,4.93,highly active,7
4104,84.1,96.8,9093,5.09,highly active,8
4717,86.97,94.04,16390,7.25,highly active,8
3926,74.5,98.13,851,4.28,highly active,5
3126,75.21,98.35,1,9.31,highly active,1
4999,66.35,100.0,15366,8.94,active,4
3994,77.55,99.33,1905,8.08,highly active,7
1569,90.15,96.22,2448,3.38,highly active,4
3006,73.86,98.18,1440,7.75,active,1
4609,72.55,100.0,11047,5.38,active,7
4553,69.35,97.59,7045,7.68,highly active,3
2453,53.83,95.43,1281,7.4,sedentary,3
1737,67.76,96.29,6132,5.84,sedentary,6
1515,61.02,96.62,1540,6.78,sedentary,9
3000,70.8,95.72,6334,4.15,highly active,5
4170,58.23,99.1,7648,6.92,highly active,2
3444,86.78,99.37,2974,7.21,sedentary,4
4560,55.9,100.0,10089,5.51,active,9
1038,83.89,97.9,12707,4.25,active,1
4342,90.43,97.86,17367,8.94,active,5
1886,70.15,98.69,6885,5.7,active,2
3844,64.7,96.87,1739,6.19,active,4
3204,82.13,95.75,9661,8.14,active,4
2098,99.04,96.2,798,5.65,sedentary,5
3931,95.13,99.22,1399,5.36,highly active,6
2823,73.89,99.83,12519,9.52,active,9
4201,61.75,100.0,16920,5.4,active,8
2710,71.52,95.95,483,8.33,highly active,2
1973,49.65,95.86,2619,6.73,sedentary,3
4155,66.66,94.19,6944,6.7,active,3
4093,81.76,98.31,19537,5.74,active,9
4530,69.48,99.08,5919,6.2,active,9
2562,65.99,96.74,12042,9.18,active,10
4778,74.17,94.95,17925,7.78,sedentary,10
3896,70.96,100.0,5123,4.46,highly active,1
4453,86.33,98.73,9441,6.45,sedentary,7
3795,55.1,95.55,7601,7.07,sedentary,3
4511,82.9,97.28,7789,7.46,active,4
4675,74.31,100.0,5095,7.65,active,2
1988,81.51,99.9,6832,6.38,highly active,1
1020,54.16,97.34,5657,5.23,sedentary,2
3350,88.25,96.09,7107,5.29,highly active,2
1868,83.15,100.0,4925,3.05,sedentary,8
1083,100.1,95.14,1761,8.95,highly active,9
4845,62.51,99.0,8280,2.56,highly active,3
2682,66.23,98.96,3391,6.14,highly active,3
2976,48.24,100.0,956,3.84,sedentary,8
4524,62.65,99.12,13341,5.62,active,9
2410,96.51,99.25,1400,7.36,sedentary,8
2530,79.43,98.01,5446,3.07,sedentary,8
4328,75.21,98.61,8938,7.03,active,10
1569,77.0,100.0,7302,7.81,highly active,5
4963,74.08,98.03,1227,5.87,sedentary,2
4598,49.08,97.2,1128,3.13,active,7
4233,91.6,95.94,527,3.93,sedentary,8
2980,86.05,97.04,4977,6.05,highly active,9
4234,52.73,97.51,5198,6.08,active,5
2855,73.1,95.9,1329,6.67,sedentary,6
1792,91.33,100.0,8400,4.62,sedentary,9
1791,81.71,96.8,6129,4.46,active,9
4595,58.43,97.44,8007,5.46,sedentary,5
2809,76.8,96.85,4008,8.05,sedentary,10
2294,74.38,93.37,4442,7.71,sedentary,10
3539,74.42,100.0,15366,6.4,sedentary,5
3255,67.35,96.16,8959,5.74,highly active,6
4610,75.37,100.0,6210,6.27,sedentary,1
2607,62.24,96.02,20999,7.04,active,2
2083,57.18,98.45,7606,6.65,highly active,6
3477,56.3,99.9,3560,4.39,active,7
1984,59.26,95.65,340,4.28,highly active,8
2680,81.33,97.18,3467,6.11,highly active,4
4676,81.74,96.76,18113,7.59,highly active,8
4380,96.91,97.1,319,6.45,sedentary,9
1519,75.21,99.55,1428,7.11,sedentary,7
1590,85.52,100.0,11579,3.82,highly active,2
2050,75.71,97.29,3178,6.61,active,7
2709,79.49,98.54,1439,5.33,active,5
4633,87.13,95.38,11837,3.37,active,4
3035,83.73,100.0,5722,5.68,active,6
3246,76.63,99.0,5565,4.61,sedentary,10
3434,65.8,99.68,2434,6.09,sedentary,1
1348,79.14,97.04,7870,7.12,sedentary,9
1959,95.46,100.0,13854,7.19,highly active,3
2963,77.63,98.28,9709,3.53,sedentary,9
1692,69.07,99.93,6634,7.36,sedentary,10
2559,87.32,96.16,3021,7.12,active,1
4899,54.22,98.36,13507,5.86,active,1
1377,69.6,93.94,5844,4.6,active,4
3946,60.29,99.25,15424,5.89,highly active,9
3963,73.18,99.11,2052,8.92,highly active,2
4629,75.21,94.3,7435,7.39,highly active,8
1526,84.61,95.73,19153,7.96,active,7
4224,46.98,96.36,3279,5.02,active,7
3781,65.72,98.01,21149,5.7,sedentary,2
3502,90.87,100.0,4029,5.5,highly active,4
4965,76.14,100.0,2115,5.83,active,2
2259,76.86,98.02,8566,5.47,sedentary,4
2875,78.09,93.29,2480,6.86,highly active,3
2763,40.0,94.84,6305,5.64,sedentary,4
1520,80.42,98.04,10471,6.64,sedentary,9
2701,66.77,95.27,185,5.65,active,4
2016,87.69,96.0,648,6.79,sedentary,1
4003,78.04,93.06,19066,5.93,active,1
3773,64.08,100.0,14669,8.08,sedentary,7
2013,58.07,96.56,4045,9.23,highly active,3
3548,88.36,99.07,8820,7.25,active,3
3433,78.33,100.0,3965,6.16,highly active,6
2367,78.31,96.98,13131,6.87,sedentary,6
1583,81.31,98.5,578,3.97,active,10
1394,55.62,98.01,5494,5.7,highly active,10
2087,91.13,98.01,2837,4.39,active,9
4788,72.69,95.34,5183,4.96,active,1
3768,73.12,100.0,847,7.01,sedentary,5
4860,40.0,96.41,557,4.86,highly active,8
1273,83.63,97.46,4224,6.4,active,5
3013,60.02,98.84,4081,5.96,active,5
2343,75.21,99.35,2800,7.82,active,10
2389,69.85,99.4,606,5.39,sedentary,8
4566,75.21,97.97,12195,8.78,sedentary,10
1606,75.21,96.35,3068,4.75,sedentary,10
1165,71.61,97.22,1556,4.88,active,7
2567,67.79,96.75,2227,5.72,sedentary,9
3058,59.39,100.0,16251,8.4,highly active,8
2324,92.59,98.23,12196,7.1,active,4
1728,62.98,99.48,111,4.91,sedentary,4
3848,83.43,100.0,1115,6.37,active,8
3043,85.02,98.18,7868,5.97,sedentary,1
1101,88.86,98.01,2673,7.17,highly active,7
4496,66.82,98.06,17605,6.44,active,2
2415,72.02,97.81,10808,6.79,active,2
1778,72.48,97.37,14558,6.02,highly active,9
1213,75.21,97.09,1499,8.48,highly active,9
4762,71.36,99.05,1143,6.44,sedentary,10
2111,81.88,95.87,18810,5.56,active,10
2576,71.16,95.67,3624,8.09,active,2
3448,91.76,99.78,3761,7.39,active,5
3635,74.82,100.0,8076,5.14,highly active,5
4117,80.09,97.19,14566,7.31,highly active,1
4534,65.92,94.22,2829,6.56,sedentary,4
1591,90.59,100.0,1632,8.27,highly active,9
2333,62.74,99.74,548,5.07,sedentary,9
2109,75.21,98.92,1688,4.81,sedentary,2
3139,63.08,99.27,1051,4.41,active,10
4731,69.43,99.37,206,9.81,sedentary,7
3720,64.82,100.0,334,8.29,active,3
1713,85.47,95.82,4984,7.51,active,2
1935,67.54,96.25,8612,3.61,highly active,10
1241,67.1,99.54,1184,7.55,sedentary,6
3043,74.92,95.58,8386,7.1,sedentary,9
4936,96.86,99.66,5652,6.09,highly active,1
1001,63.82,97.11,4552,4.47,highly active,4
4262,64.1,99.04,8956,8.08,sedentary,7
3848,71.31,95.41,1908,9.19,active,4
2768,74.74,94.14,2610,7.16,highly active,2
2949,84.31,99.15,3398,5.37,highly active,3
3636,75.64,100.0,1409,8.79,highly active,1
3163,78.68,98.08,4558,6.75,highly active,3
4737,57.69,100.0,989,8.94,sedentary,4
1917,79.52,95.25,2680,5.96,sedentary,8
4174,79.92,96.23,840,9.59,sedentary,2
3241,85.07,98.98,255,5.83,sedentary,6
4237,70.07,99.08,3071,5.51,active,7
1089,85.6,99.17,1153,6.39,sedentary,9
3169,48.08,98.24,2244,4.97,active,9
1142,58.37,98.7,160,5.0,sedentary,9
4041,65.41,100.0,199,5.93,highly active,7
1105,91.09,96.24,7688,7.04,highly active,10
1886,75.21,99.2,7757,5.33,highly active,9
1427,61.36,99.7,16309,8.1,sedentary,4
2328,73.74,100.0,666,6.34,highly active,5
2895,67.1,100.0,3305,9.06,sedentary,9
1316,79.2,98.01,11185,7.01,active,2
1634,65.68,100.0,15448,6.91,highly active,6
2925,72.85,95.82,7993,6.43,highly active,7
3056,93.45,96.27,2148,7.77,sedentary,8
3821,65.19,100.0,321,4.65,highly active,5
4144,51.73,100.0,4816,6.92,highly active,2
4430,94.55,94.95,8739,5.02,sedentary,4
3270,82.46,98.05,2189,6.45,sedentary,8
1574,57.56,97.98,1293,6.9,sedentary,9
1552,79.6,100.0,547,7.92,sedentary,10
1715,76.41,98.61,394,8.98,active,10
2287,95.44,95.99,6580,8.0,highly active,6
4911,83.33,97.15,10085,6.57,highly active,4
2713,79.58,94.38,10614,4.9,active,8
2883,75.21,94.88,7423,8.79,active,5
4389,77.04,100.0,7404,7.19,active,1
2107,88.17,97.39,4498,7.19,highly active,7
2341,72.76,97.41,3773,5.48,active,7
1110,89.24,97.73,1034,6.79,active,4
1250,79.68,98.23,5365,5.56,active,3
3430,76.58,98.84,515,8.32,sedentary,2
3054,70.38,96.13,4420,8.36,sedentary,3
1458,70.52,100.0,9188,6.27,highly active,1
2107,79.79,96.69,4094,5.62,highly active,2
1207,90.2,94.58,4968,7.69,sedentary,5
1899,82.57,95.25,12925,7.48,highly active,10
4461,64.28,97.98,7280,4.75,highly active,10
4385,51.02,99.85,955,6.06,highly active,6
1021,86.1,99.6,5480,9.79,sedentary,10
1409,75.21,100.0,3174,6.49,active,3
1894,70.86,95.48,1622,6.85,highly active,2
1514,68.05,100.0,7308,7.32,sedentary,9
4198,87.31,99.0,3420,5.66,highly active,7
1808,62.09,97.36,10206,7.65,highly active,3
4771,97.44,96.51,6181,7.07,sedentary,7
1873,81.18,96.15,770,8.19,active,6
1013,74.6,99.07,3019,3.97,active,5
1970,63.39,98.14,2201,7.03,sedentary,10
4025,88.23,94.37,1137,6.81,highly active,4
4061,68.34,97.4,11273,4.37,highly active,9
4083,85.64,97.15,3329,6.1,active,10
3134,80.99,100.0,6650,7.09,sedentary,10
4595,94.37,98.7,14960,6.58,sedentary,2
3956,77.38,98.01,5481,6.46,active,10
2324,83.32,98.54,10947,5.8,sedentary,5
2266,77.19,96.73,4005,9.51,highly active,8
3169,69.16,95.09,5808,6.99,highly active,4
4218,88.15,98.7,16265,6.96,active,6
4638,69.5,97.85,4703,4.51,active,7
1749,63.39,97.63,2852,6.03,highly active,7
4427,67.97,98.14,9098,5.71,sedentary,4
1684,72.12,99.1,1003,6.45,highly active,6
2927,108.75,95.38,17151,6.02,highly active,5
4804,79.39,96.35,17300,5.57,active,7
4702,65.08,100.0,6062,6.16,active,8
3356,91.33,100.0,1173,4.88,sedentary,7
1694,77.83,100.0,4211,7.39,active,9
4313,94.42,99.59,3853,7.71,sedentary,7
1306,103.68,99.41,2479,7.25,active,4
4883,52.62,97.83,1347,7.78,active,8
4665,40.0,95.01,2142,7.68,active,1
2989,104.87,99.36,5676,4.57,sedentary,1
3961,64.69,97.84,8102,8.74,active,6
1661,67.13,99.16,1701,3.64,highly active,4
1548,60.49,100.0,1597,5.36,sedentary,8
4423,63.41,96.39,871,4.65,highly active,2
1311,87.84,97.25,19577,7.15,active,3
3920,69.61,98.74,3367,5.7,active,9
2082,50.73,98.01,18037,6.54,active,3
4714,75.49,97.71,15415,9.1,highly active,8
3971,62.23,98.46,314,6.45,sedentary,10
2737,71.26,99.61,2297,5.06,sedentary,3
1754,72.12,98.01,2522,7.19,sedentary,2
1034,87.68,99.06,2273,9.24,highly active,9
1444,67.42,97.59,3877,5.13,sedentary,5
3140,85.47,98.29,4842,7.95,highly active,4
2982,51.07,98.71,9937,6.25,highly active,10
2230,88.48,93.06,2180,5.09,sedentary,4
1352,94.48,96.65,2484,8.77,highly active,6
1902,71.55,100.0,6389,5.86,active,8
2355,62.72,93.95,1382,6.28,highly active,9
4888,58.84,98.79,4486,5.97,sedentary,7
3909,74.62,100.0,2022,8.08,sedentary,1
2748,93.24,100.0,1544,7.98,sedentary,8
1158,68.61,99.67,11115,5.39,active,9
2977,91.67,100.0,8596,6.67,active,7
1956,57.73,100.0,2012,7.05,active,10
3071,69.73,97.23,3755,7.96,active,7
1403,74.35,99.44,1172,5.59,highly active,5
3852,78.25,95.23,382,8.57,sedentary,9
1515,70.01,99.95,6160,7.72,highly active,3
3779,93.7,97.86,3163,5.08,active,8
4453,72.38,98.55,852,7.23,highly active,6
3579,67.19,99.99,7976,5.44,sedentary,10
1955,65.99,98.29,2216,7.14,highly active,2
3199,90.52,97.5,16655,6.5,highly active,7
4633,65.02,98.62,1499,4.2,sedentary,5
2340,55.32,97.79,13361,9.57,highly active,1
1607,85.0,97.11,5947,6.31,active,6
4688,54.52,95.24,803,6.66,highly active,1
3467,69.02,96.6,5581,4.96,highly active,7
2273,76.53,95.41,2578,5.6,highly active,1
4188,49.77,94.92,9347,9.75,active,5
3913,77.73,96.85,566,10.13,highly active,1
2535,70.13,99.01,17497,3.72,active,6
4811,46.39,95.01,4553,6.59,active,8
3625,77.93,97.91,9277,9.3,active,3
2441,77.77,97.78,1374,7.53,highly active,4
3979,82.56,99.68,14847,6.25,active,8
2797,78.87,100.0,1854,7.27,highly active,2
1294,85.95,98.01,1479,8.67,active,1
1754,60.81,96.72,5147,6.45,sedentary,6
1185,57.58,97.07,2631,5.55,active,5
1636,105.33,98.08,3997,6.4,sedentary,3
2291,62.95,98.1,12598,5.68,highly active,8
4714,67.17,98.2,5284,4.86,sedentary,1
4308,71.49,98.15,1608,5.0,active,5
1529,69.65,98.53,14841,5.43,active,1
4623,102.23,99.88,522,7.19,sedentary,4
3068,49.12,98.7,8036,5.72,sedentary,8
3958,107.78,95.81,12435,6.77,sedentary,8
4808,77.17,99.85,12487,6.74,sedentary,4
2884,89.42,100.0,7455,7.65,sedentary,1
1793,75.31,97.71,2023,5.27,sedentary,7
4591,87.23,98.62,5310,8.92,sedentary,7
3147,60.83,97.07,6951,3.86,sedentary,5
3799,54.68,96.45,15431,6.01,sedentary,8
1477,113.9,96.69,1217,5.86,sedentary,10
2622,75.21,96.83,4377,5.32,active,5
4369,59.19,100.0,2836,3.19,sedentary,9
1939,85.75,97.85,3906,8.32,sedentary,2
1525,92.37,96.37,1415,7.74,sedentary,7
3381,84.9,97.52,1716,7.25,active,10
1001,71.88,99.33,10283,5.41,active,2
1374,105.37,100.0,4555,5.74,sedentary,2
3340,85.31,99.08,5052,6.0,highly active,9
3884,61.08,97.95,15943,6.14,highly active,4
4052,69.2,100.0,1920,7.69,active,2
1552,58.95,97.56,2795,5.76,highly active,1
3365,73.39,97.44,2583,5.21,sedentary,1
2525,72.9,95.69,7536,6.72,highly active,2
2851,86.33,98.01,5785,6.56,sedentary,4
1380,86.11,95.68,4464,7.26,highly active,6
1013,80.42,97.84,4630,5.89,sedentary,5
1503,90.65,97.01,11848,7.9,active,10
3278,71.61,100.0,3696,6.71,highly active,7
3008,40.0,98.61,15489,8.04,active,7
4155,106.66,99.38,891,8.35,sedentary,6
1129,61.34,98.95,690,5.36,active,9
4814,85.43,95.84,7463,9.47,highly active,9
1837,69.89,97.59,3456,6.77,active,1
4216,95.97,98.84,4257,4.78,active,4
3938,60.57,94.52,8335,4.79,highly active,7
4928,64.34,94.47,1690,6.45,highly active,7
3040,67.53,98.37,314,8.47,active,5
1027,83.31,97.51,4044,8.14,highly active,1
2252,76.9,96.04,5939,4.14,sedentary,9
1260,88.98,99.0,1635,6.06,highly active,9
3046,89.23,97.01,4366,6.76,active,9
2472,97.72,100.0,4586,8.75,highly active,2
2447,80.16,96.55,1876,6.09,sedentary,3
1459,80.09,96.89,1252,6.0,highly active,1
4747,101.51,100.0,3018,6.93,sedentary,9
1300,75.21,99.7,277,7.78,active,8
3966,82.78,100.0,1274,8.83,sedentary,10
4374,54.08,96.52,9200,5.45,sedentary,9
3334,49.74,97.52,7331,6.24,sedentary,4
4466,84.19,98.06,2625,6.71,active,9
4081,84.81,97.54,5607,6.1,highly active,8
4778,64.16,98.33,12378,5.57,active,3
1629,80.31,98.31,12790,6.11,active,3
1269,61.3,97.62,7436,4.67,sedentary,10
2993,83.97,100.0,1244,4.65,highly active,9
2801,80.03,97.08,7775,5.91,sedentary,4
3891,70.59,95.13,2088,5.68,sedentary,1
1861,71.82,96.16,4371,6.52,highly active,8
4432,92.39,97.05,12221,2.79,active,8
2280,81.22,98.22,15564,6.02,highly active,9
3180,82.32,99.67,12764,6.79,active,7
4347,76.3,99.71,866,7.96,active,2
2799,84.77,100.0,16914,7.41,active,6
2706,89.38,96.01,8067,8.41,sedentary,2
4019,65.58,96.29,6750,4.35,sedentary,2
3560,83.89,95.82,1990,8.07,sedentary,5
3360,71.61,100.0,18439,6.95,highly active,10
1575,79.71,99.12,122,5.69,highly active,8
3933,87.53,99.77,600,6.66,highly active,8
2307,58.74,97.99,8292,6.72,highly active,1
4192,65.11,99.12,6825,6.62,highly active,2
4178,64.04,95.15,20262,7.79,active,6
3734,100.39,98.87,2989,5.31,sedentary,6
3020,92.68,93.66,7750,8.61,highly active,9
4275,75.21,100.0,1339,4.34,active,1
3212,88.03,99.33,4365,6.56,sedentary,7
3352,74.35,95.71,108,6.4,sedentary,3
4568,80.16,97.9,6276,5.25,active,9
2655,60.29,98.95,10727,4.52,sedentary,8
2579,55.19,98.26,1594,6.31,active,4
2847,85.99,97.88,2568,7.05,highly active,10
3203,75.49,97.77,989,8.07,active,6
2390,82.84,99.55,6693,5.34,sedentary,3
2742,98.91,99.63,5811,5.32,highly active,5
2925,71.42,99.4,12256,8.79,sedentary,2
1956,75.21,99.18,793,6.45,highly active,7
1475,62.95,100.0,5638,4.03,sedentary,3
4953,86.04,97.77,10913,4.7,highly active,7
3381,71.43,94.6,7530,8.59,highly active,4
4713,75.21,100.0,15910,5.6,sedentary,1
1968,76.35,98.9,4080,5.7,active,9
3558,87.4,99.06,3899,5.83,highly active,5
2316,57.61,96.26,185,6.02,highly active,4
2043,57.26,94.68,110,5.81,highly active,4
1281,73.8,98.57,8258,6.71,sedentary,7
3844,58.5,97.48,4463,8.38,active,2
4072,55.86,97.96,7556,5.29,active,9
3166,75.09,96.95,1904,5.61,active,6
1197,86.82,96.65,16321,8.86,highly active,2
3532,73.4,100.0,7599,6.06,active,4
4828,94.24,97.61,2278,5.15,highly active,2
2082,101.02,99.72,1704,3.47,active,8
3884,75.21,98.95,6875,5.36,sedentary,8
2184,69.51,100.0,19785,5.2,highly active,4
2008,98.44,98.36,6041,4.71,active,6
3738,97.78,99.84,12797,6.61,sedentary,8
2035,93.34,100.0,7858,8.64,active,5
1489,63.28,99.42,5871,6.82,highly active,9
1275,43.99,96.45,5995,8.01,active,5
3740,60.43,97.63,9409,6.24,highly active,5
3289,78.1,95.57,3532,5.18,active,3
2239,73.89,97.38,16403,7.43,highly active,1
2274,89.43,95.24,13939,4.81,active,5
4882,52.72,99.51,9044,8.24,highly active,6
1125,53.01,94.4,9522,5.38,sedentary,9
1216,86.43,95.87,3731,7.61,active,7
4377,53.46,98.64,12508,7.06,highly active,10
4868,70.94,99.61,18880,5.04,active,9
2208,75.37,93.98,11098,8.32,sedentary,8
2246,83.67,99.29,10812,5.38,highly active,10
3542,102.48,94.42,6567,6.6,active,8
4249,72.45,98.94,3116,8.34,sedentary,3
4499,54.6,98.01,2137,6.71,sedentary,2
2317,59.32,98.01,951,5.97,highly active,6
4923,75.21,100.0,4977,5.88,sedentary,2
3198,51.65,93.52,5054,5.7,highly active,3
3431,82.43,97.06,16840,4.45,active,3
2661,65.91,97.22,11621,7.79,sedentary,5
4884,50.76,94.58,1410,6.65,sedentary,5
1307,82.9,98.72,5773,8.79,highly active,2
2359,83.34,96.87,13137,7.74,active,6
2969,75.02,96.21,5427,5.9,active,5
